Name,StateName,Female_pct_1901,Female_pct_1911,Female_pct_1921,Female_pct_1931,Female_pct_1941,Female_pct_1951,Female_pct_1961,Female_pct_1971,Female_pct_1981,Female_pct_1991,Female_pct_2001,Female_pct_2011,Pct_var_since_last_1911,Pct_var_since_last_1921,Pct_var_since_last_1931,Pct_var_since_last_1941,Pct_var_since_last_1951,Pct_var_since_last_1961,Pct_var_since_last_1971,Pct_var_since_last_1981,Pct_var_since_last_1991,Pct_var_since_last_2001,Pct_var_since_last_2011,AvgPopGrowth,AvgFemPct,FemaleMWpct_Rural,FemaleMWpct_Urban,MaleMWpct_Rural,MaleMWpct_Urban,TotMWpct,Label_KME5,Label_KMC6,Label_HCC7
NALGONDA,ANDHRAPRADESH,47.1479357340092,48.60570443470466,48.85569323584426,48.79328643323042,48.59794966730121,48.603097184596585,48.759229705561,49.103827034441224,49.215001195340584,49.02320822750458,49.137957045328456,49.55952016863061,19.887847625330664,-8.46733889776169,19.154559790336652,12.8499646721805,12.39883686407377,21.02078281872854,16.8189597507161,25.275451740855,25.1090391874316,13.880688280742698,7.414665475362856,15.031223391636063,48.78353417220773,14.21255792449515,1.4809351844712622,18.12888008486564,4.262027528592135,38.084400722424185,4,4,0
WARANGAL,ANDHRAPRADESH,47.55484373302984,48.40299650974717,48.638796513115174,48.602203212606724,48.53414755267803,48.80601818570109,48.833888193291855,48.863267685160295,49.072532001330266,49.03328754604744,49.325539956204615,49.914791879236205,25.78607693496155,-1.1171241289569374,19.501564375528837,15.847631711112392,18.13844157067105,16.212450257024173,21.06190166522694,22.949084761453243,22.542195674902565,15.1542199038467,8.212312738986151,16.753523224068786,48.79852608067906,12.600410638801836,2.0068462575614023,15.304579886670068,6.247637061803076,36.159473844836384,4,4,0
KHAMMAM,ANDHRAPRADESH,47.95640542012264,48.5721834662212,48.755627390583214,48.711766159027725,48.63714970864221,48.83589397055948,48.9387655525738,48.89356241221936,48.902358678537134,49.00160618537067,49.37650425932956,50.27515130283087,23.45957662854903,0.7180632321794604,21.60621805503842,17.5977439815733,19.531697271932458,30.88358692181455,29.53546998606202,27.862196435923416,26.503875942438057,16.38760380520162,8.470305673638688,20.232394357668277,48.90474787550149,14.236658003767825,1.6370376460747058,17.69594297500867,5.297332851928776,38.86697147677998,4,0,0
SRIKAKULAM,ANDHRAPRADESH,51.82575223934361,52.33540894969937,52.232609765715054,51.881674922532255,51.4359042435506,51.503920921444994,51.142269133562515,50.799731972555435,50.56605449148494,50.29054863889336,50.34585924535574,50.36324772096182,3.840949317611958,2.021614621880332,8.839292151663475,9.042932954520362,5.433793755685905,10.640052013384626,13.79730469104116,10.699854460645616,18.46396155463643,9.32594783738582,6.5227560132771485,8.966223579248439,51.226915187091635,9.555793799299623,1.1446798026276361,16.795037131249366,3.6535270062601874,31.14903773943681,1,3,2
VIZIANAGARAM,ANDHRAPRADESH,51.48922533613359,51.96143460485722,52.07254043413277,51.6427061232909,51.17626587639715,50.78219427750846,50.41589449029272,50.235159711064334,50.1413371939634,50.006466304395715,50.226119415592905,50.45895156013673,5.056924680050715,1.0844086318681432,9.966259321216933,10.340143947430457,9.025563304877734,8.011855580535354,12.650321922249665,13.502998946877057,17.001866759487328,6.5520954379156615,4.233403608485302,8.856894740090397,50.88402461064715,12.284461248024076,1.2797753355336847,17.99955981597578,4.9063457304282325,36.47014212996177,1,3,2
VISAKHAPATNAM,ANDHRAPRADESH,51.108696024406925,51.5493293636786,51.892552470008695,51.379950747629216,50.8977739770322,50.56984348766187,50.0053746878027,49.79956587752127,49.51720840187015,49.369789339233115,49.6339308453121,50.14880241384108,6.431091633739007,0.05110331102137538,11.233297043291717,11.766996829888843,12.880089351335476,12.237362779571773,22.256492112420453,26.556379188645817,27.503401936134424,16.658407131368012,11.957537126181004,14.502923494872535,50.48940146966649,6.669806872669463,2.3579047072558104,11.246334710688906,10.868694251535162,31.14274054214934,1,3,4
EASTGODAVARI,ANDHRAPRADESH,50.942735370182426,50.98602323153051,51.063071129075496,50.641555101559874,50.25777250760468,50.05751965182364,49.96873532371687,49.89524698584053,49.81216090612369,49.94822979365466,49.817807900567594,50.14473363578654,12.859542250391888,1.6970372321207605,14.306954143101425,12.522918781133539,16.445182808286155,13.317841257925243,18.3595916998131,19.880981918606196,22.701240732334696,7.931741720620573,5.159239567309066,13.198388373785695,50.29463262812221,5.245216805554047,1.2440302225560969,18.001042237387995,6.0415622230465615,30.5318514885447,1,3,2
WESTGODAVARI,ANDHRAPRADESH,50.77597216813129,50.85665121170116,50.795396428584205,50.68896591974794,50.14097907940081,49.992548860918156,49.80328642840642,49.84058499620521,49.767846294204716,49.84912871620392,49.78231988972312,50.09055196311068,13.795834357736986,6.919936905501649,16.122692760247347,12.808621775573279,15.877022287048558,16.52385807612178,20.02009850085201,21.04412826316406,22.39455134695775,8.129167652196063,3.508568516980468,14.285861858398174,50.19868599636147,8.8202946126535,1.1899518563279439,20.02912902981636,4.895419467681458,34.93479496647926,1,3,2
KRISHNA,ANDHRAPRADESH,49.36927164869673,49.46288639654572,49.50020335349254,49.28716473474913,49.114831385000244,49.20696440798904,49.04451514620435,49.09318913334836,49.27476567699854,49.205898184643644,49.43931729977332,49.807942536832044,15.33189016430758,6.710899156769907,15.989435054745025,14.997038666553854,22.84466535928847,19.610764390597023,20.059067211823457,22.252758490423787,21.33435767467081,13.220602281854845,7.869377084755605,16.383714139617304,49.31724582535613,8.246251492562754,2.652788175848132,13.93273295822064,9.39961455687544,34.23138718350697,4,4,2
GUNTUR,ANDHRAPRADESH,49.39575014462489,49.447337978552355,49.50954839175481,49.40384301657929,49.20210070011948,49.333576322710144,49.399075130003446,49.338615596198686,49.30882364929467,49.2456657525361,49.603439441146804,50.06926410646234,14.576160879319346,6.603235541544128,12.854770585899425,12.340324804314516,12.494917385446126,17.811678170694975,22.22549743344709,20.750166638073356,19.572897269183784,8.72035761391712,9.465965711296208,14.31054291210328,49.43808668583193,11.545490795167492,2.649098891467411,16.118681299796044,8.214941938245182,38.528212924676126,1,4,2
PRAKASAM,ANDHRAPRADESH,49.895850106201095,49.95794124499529,49.80526992460417,49.84073486815303,49.583706319672174,49.52897959127903,49.78399570264505,49.67799395310925,49.43875932521481,49.24303213362299,49.26062855643041,49.527880927095865,9.610507088448951,4.580895500602109,7.830537862988402,11.504924814743827,8.918484719279878,14.209451561311901,14.851058127946805,21.33213888577835,18.44094899876415,10.882165118010297,11.048651984377447,12.109978605659284,49.6287310544186,13.199319018274894,1.3921331540615192,19.07375771461403,4.558921873123592,38.22413176007404,1,3,2
